Color,Name
"[190, 167,   7]",Sand
"[103, 149,  35]",Plains
"[  9,  90, 172]",Water
"[ 47,  65,  21]",Forest
"[ 46,  61,  22]",Forest
"[ 46,  62,  20]",Forest
"[ 97, 151,  31]",Plains
"[ 44,  61,  22]",Forest
"[ 46,  62,  20]",Forest
"[ 97, 143,  25]",Plains
"[108, 150,  33]",Plains
"[106,  94,  54]",Mountain_House
"[137, 136,  78]",Huge_Crown
"[ 44,  60,  17]",Forest
"[101, 140,  19]",Plains
"[100, 150,  29]",Plains
"[111,  97,  56]",Mountain_House
"[ 61,  67,  28]",House
"[ 16,  91, 159]",Water
"[112, 118,  35]",House
"[101, 120,  21]",House
"[ 56,  67,  39]",Forest
"[ 55,  91, 122]",Water
"[ 24,  74, 134]",Water
"[ 96, 112,  29]",House
